Problem,Description,Category,Solution ,Solution In English,Formula Field Type,Discussion,Alternate Solution
Validate data based on a user’s role,Enforce business policies for what kind of data is allowed.,Text,"var Text roles = ToText(UserRoles(""ID""));","Let’s say you’re tracking sales opportunities, and you want to enforce business policies for what kind of discounts are allowed. Sales reps can discount up to 10%, sales managers can discount up to 15%, and any discount greater than 15% requires approval from the finance team. You can build a custom data rule using a formula - multi–select text field to enforce this policy. Consider an app with the following roles: Administrator, Finance Team, Sales Manager, and Sales Rep.",Multi-select text,,
,,,,,,,
,,,If( ,"Administrators and members of the finance team should be able to set any level of discount, but the discount levels sales reps and sales managers can apply should be limited.",,,
,,,"// Role with ID# 13 is ""Sales Rep"" ",,,,
,,,"(Left($roles,3) = ""13 "" or","Custom data rules allow you to harness the power of the Quick Base formula language to prevent the user from entering invalid data, displaying custom error messages you write in terms your end users will easily understand. You can enter complex, sophisticated business logic to determine exactly who should be allowed to enter certain types of data. ",,,
,,,"Contains($roles,""; 13 ;"") or",,,,
,,,"Right($roles,3) = "" 13"" or ","“ToText(UserRoles(""ID""))” is needed in this formula in six different places. Therefore, we’ll use a formula variable to improve legibility and speed up performance.",,,
,,,"(Contains($roles,""13"") and Length($roles) = 2)) and",,,,
,,,"[Discount %] > 0.1, ","You can find a role’s ID by going to Users - Manage Roles, then clicking on a role. On that page, look at the end of the URL to get the role ID.",,,
,,,"""Sales reps may set discounts up to 10%. Please adjust discount or speak with your manager to discuss a higher discount for this client."", ",,,,
,,,,"While you’ll need to replace the number in Contains(UserRoles(""ID""),""13"") with the role ID from your app, do not replace “ID” with anything specific to your app. Use the exact string “ID” in your custom data rule. The UserRoles() function has three different modes, and you use the text in quotation marks to choose which mode to use. You should use the ""ID"" mode for validating data for the same reason that Record ID# is a unique identifier for records. Each role has a unique role ID, but the names of roles may be similar (as in Sales Rep and Sales Manager above).",,,
,,,"// Role with ID# 10 is ""Sales Manager"" ",,,,
,,,"(Left($roles,3) = ""10 "" or","The multi–select text portion of the formula is UserRoles(""ID""), which returns a list of the numeric role IDs for all roles the current user has been granted in the app. In order to interpret the list of role IDs, we need to convert the list into a single piece of text. That gives us ToText(UserRoles(""ID"")). That expression is used in the formula above, which is entered in the table’s advanced settings as the custom data rule.",,,
,,,"Contains($roles,""; 10 ;"") or",,,,
,,,"Right($roles,3) = "" 10"" or ","In the example above, ToText() returns a semicolon-separated list. To search the list to match either the sales rep role, or the sales manager role, these notes apply:",,,
,,,"(Contains($roles,""10"") and Length($roles) = 2)) and",,,,
,,,"[Discount %] > 0.15, ","If the app includes many roles, there might be a role with ID #13 and another role with ID #130. To avoid such false positives, match ""; 13 ;"" instead of matching ""13"".",,,
,,,"""Sales managers may set discounts up to 15%. Please adjust discount or contact the finance team to discuss a higher discount for this client."" ","If the sales rep role is the first role in the list, there won’t be a semicolon before the number 13. Similarly, if the sales rep role is the last role in the list, there won’t be a semicolon after the number 13. Use the Left() and Right() functions to account for this.",,,
,,,),"If user is assigned only a single role in the app, then match on just 13 and then make sure there aren’t any more characters in the list with the Length() function.",,,
Calculate the date a week later,Create a formula date type field which displays the date that's a week later than the value in the Start Date field.,Dates,[Start Date] + Days (7),Take the value in the Start Date field and add seven days to it.,Date,,
"Automatically complete the Territory field, based on who the salesperson is.","Based on the value in the user field Salesperson, display the correponding sales territory in the Territory field.",Conditional (If - Then),"If([Salesperson]=ToUser(""baker@example.com""), ""Western"", ""Eastern"")","Take the e-mail address baker@example.com and convert it to the user value connected with that e-mail account (you can use a user name instead of an e-mail address). If the value in the Salesperson field is that user, then display the word Western, otherwise, display the word Eastern.",Text,Tip: Form rules can also automatically populate fields based on other values.,
,,,,,,,
,,,,,,Want to set this up for multiple salespeople and territories? Use the Case() function instead. Read how in the next section.,
Color rows based on who a user is,You want to color code rows based on the user in the Assigned To field.,Row Colorization,"If([Assigned To]=ToUser(""baker@example.com""), ""pink"", """")","Take the e-mail address baker@example.com and convert it to the user value connected with that e-mail account (you can use a user name instead of an e-mail address). If the value in the Assigned To field is that user, then color the row pink, otherwise, don't color it.",none - view builder formula,-Don't forget to enclose the e-mail address or user name in quotation marks.,
